ID,GENDER_ACROSSTIME_T1T2T3T4,MPACS_TOTAL_IMP_T1,MPACS_TOTAL_IMP_T2,MPACS_TOTAL_IMP_T3,MPACS_TOTAL_IMP_T4,MPACS_TOTAL_IMP_T5,MPACS_TOTAL_IMP_T6,SPPA_SWORTH_IMP_T1,SPPA_SWORTH_IMP_T2,SPPA_SWORTH_IMP_T3,SPPA_SWORTH_IMP_T4,SPPA_SWORTH_IMP_T5,SPPA_SWORTH_IMP_T6
1246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1248,2,NA,98,NA,NA,NA,NA,NA,3.8,NA,NA,NA,NA
1249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1250,2,74.44444444,62,62,80,73,60,3.2,3.6,2.7,3.6,2.4,1.8
1251,1,86,75,80,78,68,NA,3.4,3.6,3.8,4,3.2,NA
1252,2,55,51,47,43,41,46,3.6,3.4,3.2,3.4,3.4,2.4
1253,1,NA,55.78947368,76,64,NA,NA,4,3.6,3.666666667,3.8,2.6,2.6
1254,2,82,89,NA,NA,79,77,3.4,4,NA,NA,3.8,3.8
1255,6,53.33333333,60,60,60,60,NA,2.5,3,2.8,2.4,2.6,NA
1256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1257,1,82,94.73684211,77,60,NA,NA,3.2,4,3.6,3.4,NA,NA
1258,1,81,73.33333333,73,70,70,68,3.8,4,3,3.6,3.6,3
1259,4,80,88.33333333,83,89,NA,NA,3.6,NA,3.75,3.666666667,NA,NA
1260,2,88,NA,74.73684211,73.68421053,NA,NA,3,NA,3,NA,NA,NA
1261,1,80,94,96,93,58.66666667,61,3.8,3.8,3.8,4,3.25,2.6
1262,2,77,82,76.36363636,89.47368421,78,71,4,4,3.6,3.6,3,3.25
1263,1,95,95,95,91,NA,NA,4,4,4,4,NA,NA
1264,2,91.57894737,87,78,73,84,70,4,3.6,3.4,3.4,3.8,3.8
1265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1266,2,83.33333333,75,54,72,NA,NA,3,3.5,2.6,3.2,NA,NA
1267,2,86,85,81,86,NA,NA,3.8,3,3.8,3.8,NA,NA
1268,1,73,63,63,59,NA,NA,3.4,3,3.2,3.2,NA,NA
1269,1,67.05882353,59,NA,62,63.15789474,60,3.8,3.2,3.333333333,3.2,3,2.6
1270,1,92,76,68,79,NA,NA,4,4,3,3,NA,NA
1271,2,92.63157895,65.26315789,NA,NA,NA,NA,3.2,3.4,NA,NA,NA,NA
1272,4,NA,65.88235294,NA,53.5,63,NA,NA,4,2.6,2.5,3.8,NA
